-170-42.dsl.bell.ca.56476: Flags [P.], seq 881380:881584, ack 505, win 501, length 204
02:34:45.925822 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 881584:881788, ack 505, win 501, length 204
02:34:45.925889 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 881788:881992, ack 505, win 501, length 204
02:34:45.925937 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 881992:882196, ack 505, win 501, length 204
02:34:45.925984 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 882196:882400, ack 505, win 501, length 204
02:34:45.926029 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 882400:882604, ack 505, win 501, length 204
02:34:45.926098 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 882604:882808, ack 505, win 501, length 204
02:34:45.926145 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 882808:883012, ack 505, win 501, length 204
02:34:45.926193 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 883012:883216, ack 505, win 501, length 204
02:34:45.926239 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 883216:883420, ack 505, win 501, length 204
02:34:45.926276 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 883420:883624, ack 505, win 501, length 204
02:34:45.926315 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 883624:883828, ack 505, win 501, length 204
02:34:45.926350 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 883828:884032, ack 505, win 501, length 204
02:34:45.926387 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 884032:884236, ack 505, win 501, length 204
02:34:45.926422 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 884236:884440, ack 505, win 501, length 204
02:34:45.926458 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 884440:884644, ack 505, win 501, length 204
02:34:45.926474 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 875720, win 516, length 0
02:34:45.926544 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 884644:885000, ack 505, win 501, length 356
02:34:45.926591 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 885000:885204, ack 505, win 501, length 204
