root@comp3134-Winter2023:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet)
02:43:06.272211 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 1155012700:1155012744, ack 3554556669, win 501, length 44
02:43:06.272296 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 44:152, ack 1, win 501, length 108
02:43:06.272336 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 152:188, ack 1, win 501, length 36
02:43:06.276291 IP bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476 > comp3134-Winter2023.ssh: Flags [.], ack 188, win 8334, length 0
02:43:06.552529 IP 103.89.91.180.41831 > comp3134-Winter2023.1340: Flags [S], seq 23881, win 512, length 0
02:43:07.138810 IP 103.89.91.180.40709 > comp3134-Winter2023.33554: Flags [S], seq 28784, win 512, length 0
02:43:10.554345 IP 103.89.91.180.41831 > comp3134-Winter2023.1341: Flags [S], seq 28784, win 512, length 0
02:43:11.560935 IP 103.89.91.180.40709 > comp3134-Winter2023.33555: Flags [S], seq 15398, win 512, length 0
02:43:12.437775 IP hosting-by.4cloud.mobi.52800 > comp3134-Winter2023.40311: Flags [S], seq 3855414585, win 1024, length 0
02:43:13.870447 IP 103.89.91.180.41831 > comp3134-Winter2023.1342: Flags [S], seq 15398, win 512, length 0
02:43:15.457676 IP 103.89.91.180.40709 > comp3134-Winter2023.33556: Flags [S], seq 16492, win 512, length 0
02:43:18.331918 IP 103.89.91.180.41831 > comp3134-Winter2023.1343: Flags [S], seq 16492, win 512, length 0
02:43:20.593416 IP 103.89.91.180.40709 > comp3134-Winter2023.33557: Flags [S], seq 32066, win 512, length 0
02:43:22.682581 IP 103.89.91.180.41831 > comp3134-Winter2023.1344: Flags [S], seq 32066, win 512, length 0
02:43:24.339231 IP 103.89.91.180.40709 > comp3134-Winter2023.33558: Flags [S], seq 29353, win 512, length 0
02:43:26.583368 IP 103.89.91.180.41831 > comp3134-Winter2023.1345: Flags [S], seq 29353, win 512, length 0
02:43:28.670326 IP 103.89.91.180.40709 > comp3134-Winter2023.33559: Flags [S], seq 8351, win 512, length 0
02:43:30.661492 IP 103.89.91.180.41831 > comp3134-Winter2023.1346: Flags [S], seq 8351, win 512, length 0
02:43:32.280619 IP 103.89.91.180.40709 > comp3134-Winter2023.33560: Flags [S], seq 1829, win 512, length 0
02:43:34.583041 IP 103.89.91.180.41831 > comp3134-Winter2023.1347: Flags [S], seq 1829, win 512, length 0
02:43:37.117372 IP 103.89.91.180.40709 > comp3134-Winter2023.33561: Flags [S], seq 9787, win 512, length 0
02:43:39.316165 IP 103.89.91.180.41831 > comp3134-Winter2023.1348: Flags [S], seq 9787, win 512, length 0
02:43:41.498658 IP 103.89.91.180.40709 > comp3134-Winter2023.33562: Flags [S], seq 32226, win 512, length 0
02:43:42.864854 IP 103.89.91.180.41831 > comp3134-Winter2023.1349: Flags [S], seq 32226, win 512, length 0
02:43:45.485628 IP 103.89.91.180.40709 > comp3134-Winter2023.33563: Flags [S], seq 3608, win 512, length 0
02:43:47.082430 IP 103.89.91.180.41831 > comp3134-Winter2023.1350: Flags [S], seq 3608, win 512, length 0
02:43:50.064677 IP 103.89.91.180.40709 > comp3134-Winter2023.33564: Flags [S], seq 22238, win 512, length 0
02:43:51.228199 IP 103.89.91.180.41831 > comp3134-Winter2023.1351: Flags [S], seq 22238, win 512, length 0
02:43:53.558432 IP 103.89.91.180.40709 > comp3134-Winter2023.33565: Flags [S], seq 22580, win 512, length 0
02:43:54.942993 IP 103.89.91.180.41831 > comp3134-Winter2023.lotusnote: Flags [S], seq 22580, win 512, length 0
02:43:57.742576 IP 103.89.91.180.40709 > comp3134-Winter2023.33566: Flags [S], seq 4635, win 512, length 0
02:43:59.044430 IP 103.89.91.180.41831 > comp3134-Winter2023.1353: Flags [S], seq 4635, win 512, length 0
02:44:01.697356 IP 103.89.91.180.40709 > comp3134-Winter2023.33567: Flags [S], seq 1169, win 512, length 0
02:44:02.627296 IP 103.89.91.180.41831 > comp3134-Winter2023.1354: Flags [S], seq 1169, win 512, length 0
02:44:05.367335 IP 103.89.91.180.40709 > comp3134-Winter2023.33568: Flags [S], seq 12183, win 512, length 0
02:44:06.290248 IP 103.89.91.180.41831 > comp3134-Winter2023.1355: Flags [S], seq 12183, win 512, length 0
02:44:09.655657 IP 103.89.91.180.40709 > comp3134-Winter2023.33569: Flags [S], seq 4910, win 512, length 0
02:44:10.742772 IP 103.89.91.180.41831 > comp3134-Winter2023.1356: Flags [S], seq 4910, win 512, length 0
02:44:12.832310 IP 103.89.91.180.40709 > comp3134-Winter2023.33570: Flags [S], seq 12116, win 512, length 0
02:44:14.340026 IP 103.89.91.180.41831 > comp3134-Winter2023.1357: Flags [S], seq 12116, win 512, length 0
