32:1293988, ack 721, win 501, length 156
02:45:23.744861 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1293988:1294144, ack 721, win 501, length 156
02:45:23.744911 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1294144:1294300, ack 721, win 501, length 156
02:45:23.744970 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1294300:1294612, ack 721, win 501, length 312
02:45:23.745023 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1294612:1294768, ack 721, win 501, length 156
02:45:23.745524 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1294768:1294924, ack 721, win 501, length 156
02:45:23.745643 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1294924:1295080, ack 721, win 501, length 156
02:45:23.745853 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1295080:1295236, ack 721, win 501, length 156
02:45:23.746018 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1295236:1295392, ack 721, win 501, length 156
02:45:23.748645 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1292132, win 8334, length 0
02:45:23.748646 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1295080, win 8337, length 0
02:45:23.748716 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1295392:1295548, ack 721, win 501, length 156
02:45:23.748944 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1295548:1295912, ack 721, win 501, length 364
02:45:23.749261 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1295912:1296068, ack 721, win 501, length 156
02:45:23.749374 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296068:1296224, ack 721, win 501, length 156
02:45:23.749429 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296224:1296380, ack 721, win 501, length 156
02:45:23.749602 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296380:1296536, ack 721, win 501, length 156
02:45:23.749777 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296536:1296692, ack 721, win 501, length 156
02:45:23.750204 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296692:1296848, ack 721, win 501, length 156
02:45:23.750280 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1296848:1297004, ack 721, win 501, length 156
02:45:23.750364 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297004:1297160, ack 721, win 501, length 156
02:45:23.750424 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297160:1297316, ack 721, win 501, length 156
02:45:23.750475 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297316:1297472, ack 721, win 501, length 156
02:45:23.750687 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297472:1297628, ack 721, win 501, length 156
02:45:23.750768 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297628:1297784, ack 721, win 501, length 156
02:45:23.750830 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297784:1297940, ack 721, win 501, length 156
02:45:23.750885 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1297940:1298096, ack 721, win 501, length 156
02:45:23.750941 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298096:1298252, ack 721, win 501, length 156
02:45:23.750993 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298252:1298408, ack 721, win 501, length 156
02:45:23.751082 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298408:1298564, ack 721, win 501, length 156
02:45:23.751484 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298564:1298720, ack 721, win 501, length 156
02:45:23.751983 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1295236, win 8337, length 0
02:45:23.752035 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298720:1298876, ack 721, win 501, length 156
02:45:23.752217 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1298876:1299136, ack 721, win 501, length 260
02:45:23.752326 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1299136:1299292, ack 721, win 501, length 156
02:45:23.752387 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1296692, win 8337, length 0
02:45:23.752457 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1299292:1299552, ack 721, win 501, length 260
02:45:23.752514 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1299552:1299708, ack 721, win 501, length 156
02:45:23.752887 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1299708:1299864, ack 721, win 501, length 156
02:45:23.753019 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1299864:1300020, ack 721, win 501, length 156
02:45:23.753079 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300020:1300176, ack 721, win 501, length 156
02:45:23.753230 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300176:1300332, ack 721, win 501, length 156
02:45:23.753868 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300332:1300488, ack 721, win 501, length 156
02:45:23.753990 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300488:1300644, ack 721, win 501, length 156
02:45:23.754061 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300644:1300800, ack 721, win 501, length 156
02:45:23.754546 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1298564, win 8337, length 0
02:45:23.754578 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300800:1300956, ack 721, win 501, length 156
02:45:23.754695 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1300956:1301216, ack 721, win 501, length 260
02:45:23.754746 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301216:1301372, ack 721, win 501, length 156
02:45:23.754796 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301372:1301528, ack 721, win 501, length 156
02:45:23.754843 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301528:1301684, ack 721, win 501, length 156
02:45:23.754890 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301684:1301840, ack 721, win 501, length 156
02:45:23.754957 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301840:1301996, ack 721, win 501, length 156
02:45:23.755031 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1301996:1302152, ack 721, win 501, length 156
02:45:23.755985 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302152:1302308, ack 721, win 501, length 156
02:45:23.756148 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1302308:1302464, ack 721, win 501, length 156
